GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	GeneName	GeneDescription
AGAP007763	0	0.069	0.188	0.153	0.054	0.555	0.839	0.795	0.173	0.031	0.82	0.133	0.275	0.163	0.788	0.041	0	0.425	0.004	0.009	0.002	0.042	0.696	0.785	0.036	""	""
AGAP000291	0	0.898	0.109	0	0.719	0.927	0.269	0	0	0	0	0	0.037	0	0.177	0.006	0.34	0.886	0.831	0.684	0.938	0.759	0.001	0.056	0.063	""	Translocase of inner mitochondrial membrane 44 homolog (yeast) [Source:VB Community Annotation]
AGAP005277	0	0.269	0.916	0	0	0.235	0.523	0.28	0.901	0.794	0.867	0.369	0.623	0.517	0.246	0.029	0.098	0.009	0.003	0.019	0.027	0.01	0.051	0.287	0.58	""	""
AGAP000339	0	0.094	0.503	0.096	0.446	0.927	0.083	0	0.327	0.018	0.978	0.366	0.73	0.357	0.885	0.642	0.006	0.138	0.04	0.003	0.075	0.022	0.039	0.025	0.092	""	E3 ubiquitin-protein ligase Hakai [Source:VB Community Annotation]
AGAP007640	0	0.156	0	0	0.133	0.004	0.303	0.51	0.364	0.749	0	0.309	0	0.244	0	0.048	0.875	0.238	0.839	0.866	0.715	0.037	0.949	0.916	0.38	""	""
AGAP005130	0	0	0.109	0.001	0.271	0.594	0.785	0.869	0.385	0.904	0.932	0.289	0.558	0.082	0.814	0.138	0.071	0.27	0.246	0.095	0.129	0.078	0.164	0.7	0.589	""	ATP-dependent RNA helicase DDX49/DBP8 [Source:VB Community Annotation]
AGAP006240	0	0.201	0	0.465	0.096	0.542	0.426	0.282	0.275	0.306	0.501	0.003	0.048	0	0.049	0	0.667	0.893	0.211	0.934	0.928	0.718	0.363	0.128	0.106	""	splicing factor 3B subunit 2 [Source:VB Community Annotation]
AGAP007667	0	0.758	0.025	0	0.859	0.051	0.051	0.1	0.075	0	0.645	0.012	0.352	0.007	0.536	0.013	0	0.249	0	0	0	0	0	0	0.66	""	sugar transporter ERD6-like 4 [Source:VB Community Annotation]
AGAP005375	0	0.003	0.206	0.573	0.248	0.175	0.253	0.025	0.021	0.01	0.124	0.905	0.492	0.254	0.715	0.258	0.077	0.464	0.993	0.964	0.637	0.012	0.198	0	0.015	""	nonsense-mediated mRNA decay protein [Source:VB Community Annotation]
AGAP006358	0	0.017	0.261	0.021	0.836	0.024	0.583	0.686	0.074	0.307	0.184	0.968	0.234	0.836	0.951	0.114	0.295	0.288	0.246	0.445	0.217	0.065	0.743	0.028	0.001	""	""
AGAP009514	0	0.729	0.242	0	0	0.044	0.713	0.013	0.023	0	0.616	0.089	0.116	0.004	0.028	0.001	0.012	0.329	0.515	0.702	0.118	0	0	0	0.32	GPRGBB3	putative GABA-B receptor 3 [Source:VB Community Annotation]
AGAP000513	0	0.075	0.138	0.192	0.431	0.692	0.35	0	0.641	0.635	0.048	0.433	0.12	0.303	0.069	0.112	0.277	0.614	0.016	0.143	0.321	0.902	0.932	0.778	0.597	""	dipeptidase E [Source:VB Community Annotation]
AGAP004766	0	0.594	0.328	0	0	0.002	0.903	0.938	0.231	0.106	0.977	0.626	0.894	0.442	0.82	0.533	0.003	0.143	0	0.007	0.01	0.324	0.862	0.009	0.122	""	endophilin-A [Source:VB Community Annotation]
AGAP001913	0	0.055	0.919	0	0	0.003	0.748	0.071	0.008	0	0.003	0	0.001	0	0.009	0	0.032	0.348	0.007	0.101	0.023	0.003	0.005	0.004	0	""	histamine-gated chloride channel [Source:VB Community Annotation]
AGAP005545	0	0.012	0	0.991	0.014	0.692	0.745	0.032	0.489	0.991	0	0.337	0	0.408	0.224	0.807	0.51	0.959	0.992	0.989	0.486	0.079	0.465	0.017	0.602	""	""
AGAP001911	0	0.757	0.018	0.001	0.169	0.611	0.518	0.148	0.843	0.235	0.748	0.471	0.472	0.599	0.265	0.695	0.349	0.308	0	0.893	0.009	0	0	0.015	0.845	RpL6	60S ribosomal protein L6 [Source:VB Community Annotation]
AGAP010428	0	0.948	0.307	0	0.863	0.165	0.532	0	0	0	0.748	0.965	0.439	0.507	0.92	0.856	0.666	0.869	0.357	0.431	0.485	0.003	0.25	0	0.003	""	1,4-alpha-glucan branching enzyme [Source:VB Community Annotation]
AGAP007615	0	0.75	0.822	0	0.002	0.072	0.972	0.469	0.206	0.001	0.665	0.69	0.825	0.157	0.897	0.469	0.017	0.221	0.226	0.856	0.954	0.003	0.004	0.001	0.921	""	Rad and Gem related GTP binding protein 1 [Source:VB Community Annotation]
AGAP009205	0	0.001	0.092	0.32	0.069	0.016	0.857	0.124	0.022	0.004	0.199	0.57	0.02	0.154	0.002	0.038	0.021	0.027	0.039	0.324	0.015	0	0.004	0	0.005	""	ankyrin repeat domain 39 [Source:VB Community Annotation]
AGAP012477	0	0	0	0.093	0	0	0.927	0.861	0.865	0.127	0.577	0.083	0.64	0.269	0.389	0.048	0	0.001	0	0.013	0	0.358	0.446	0.541	0	""	gamma-butyrobetaine dioxygenase [Source:VB Community Annotation]
AGAP005937	0	0.156	0	0.569	0.115	0.858	0.203	0	0.527	0.086	0.245	0.013	0.23	0.005	0.615	0.141	0.003	0.188	0.726	0.735	0.571	0	0.012	0	0.197	""	translation initiation factor eIF-2B subunit delta [Source:VB Community Annotation]
AGAP008077	0	0.663	0.008	0	0.75	0.877	0.553	0.723	0.625	0.293	0.506	0.921	0.604	0.815	0.254	0.657	0.017	0.338	0.207	0.32	0.743	0.006	0.318	0.003	0.813	""	""
AGAP006205	0	0.334	0.075	0	0	0.267	0.322	0.736	0.181	0.124	0.766	0	0.49	0	0.081	0	0.002	0.277	0.005	0.365	0.005	0.866	0.947	0.721	0.002	""	ribosome biogenesis ATPase [Source:VB Community Annotation]
AGAP007317	0	0.911	0	0.627	0.214	0.032	0.643	0.467	0.861	0.85	0.465	0.401	0.993	0.934	0.882	0.809	0	0.095	0	0.01	0.002	0.001	0.054	0.361	0.056	""	""
AGAP004591	0	0.27	0.105	0.32	0	0.945	0.001	0.444	0.798	0.787	0.941	0.309	0.085	0.011	0.221	0.032	0.706	0.841	0.84	0.565	0.819	0.971	0.534	0.056	0.863	""	acid phosphatase [Source:VB Community Annotation]
AGAP002340	0	0.089	0.001	0	0.179	0.22	0.46	0.498	0	0	0.593	0.028	0.395	0.308	0.55	0.561	0.004	0.209	0.464	0.983	0.356	0.008	0.123	0.001	0.051	eIF3a	Eukaryotic translation initiation factor 3 subunit A [Source:UniProtKB/Swiss-Prot;Acc:Q7PGE8]
AGAP010158	0	0.438	0.003	0.002	0.892	0	0.749	0.035	0	0.012	0.002	0.812	0.004	0.939	0.007	0.594	0.003	0.223	0.023	0.097	0.454	0	0.013	0	0.006	""	""
AGAP001730	0	0.172	0.002	0.194	0.719	0.646	0.895	0.463	0.007	0.008	0.766	0.364	0.295	0.61	0.182	0.71	0.239	0.553	0.7	0.993	0.773	0.615	0.258	0.782	0	""	cyclin G2 [Source:VB Community Annotation]
AGAP028059	0	0	0.77	0.17	0	0	0.387	0	0	0	0.001	0	0	0	0.057	0.047	0.861		0.337	0.397	0.556	0.004	0.002	0.003	0	""	""
AGAP010297	0	0.58	0.039	0.06	0.263	0.812	0.79	0.874	0.247	0.298	0	0	0.37	0.048	0.792	0.162	0.001	0.399	0.575	0.315	0.25	0.008	0.302	0	0.914	""	""
AGAP004720	0	0.208	0	0.005	0.005	0.734	0.344	0.908	0.889	0.416	0.256	0.335	0.142	0.201	0.094	0.122	0.005	0.107	0.006	0.178	0.176	0	0	0.001	0.166	""	""
AGAP006272	0	0	0.009	0	0.566	0.253	0.681	0.593	0.469	0.214	0.453	0.008	0.036	0	0.589	0.001	0.001	0.241	0.001	0.095	0.01	0.711	0.844	0.448	0.156	""	""
AGAP009906	0	0.145	0.773	0.014	0.992	0.909	0.677	0.947	0.718	0.867	0.056	0.086	0.141	0.206	0.071	0.122	0.119	0.405	0.013	0.16	0.278	0	0.314	0.464	0.551	""	""
AGAP009379	0	0.822	0	0	0.059	0.001	0	0.546	0.112	0.349	0.012	0.379	0.001	0.1	0.065	0.964	0.489		0.775	0.668	0.644	0.486	0.067	0.058	0.563	""	cellular retinaldehyde-binding protein [Source:VB Community Annotation]
AGAP000444	0	0.543	0.026	0.137	0	0.01	0.28	0.313	0.223	0.006	0.195	0.874	0.775	0.154	0.74	0.523	0.709	0.94	0.703	0.828	0.778	0.006	0.049	0.003	0.892	Ciao1	cytosolic iron-sulfur protein assembly protein [Source:VB Community Annotation]
AGAP000938	0	0.632	0.035	0	0.073	0.59	0.639	0.114	0.059	0.005	0.231	0.262	0.161	0.198	0.058	0.064	0.079	0.444	0.001	0.292	0.012	0.001	0.017	0.018	0.114	""	""
AGAP001613	0	0.537	0.015	0.23	0.008	0.062	0.681	0.93	0.982	0.401	0.69	0.265	0.982	0.022	0.922	0.023	0.029	0.992	0.988	0.892	0.788	0.011	0.003	0.464	0.741	""	""
AGAP002888	0	0.18	0.443	0	0.004	0.065	0.221	0.942	0.28	0.054	0.111	0.315	0.57	0.115	0.626	0.346	0.135	0.556	0.473	0.552	0.798	0	0	0	0.4	GPRNNA3	putative GPCR class a orphan receptor 3 [Source:VB Community Annotation]
AGAP003191	0	0.942	0.097	0	0.005	0.927	0.736	0.134	0.197	0.057	0.494	0.022	0.034	0	0.124	0.007	0.122	0.509	0.758	0.839	0.748	0.028	0.163	0.091	0.717	""	glycoprotein 3-alpha-L-fucosyltransferase [Source:VB Community Annotation]
AGAP012079	0	0.026	0.272	0.914	0.283	0.655	0.157	0.123	0.572	0.411	0.841	0.873	0.498	0.522	0.955	0.876	0.233	0.121	0.079	0.006	0.011	0	0	0	0.907	""	Miranda [Source:VB Community Annotation]
AGAP010536	0	0.002	0.606	0	0.856	0.011	0.433	0.927	0.037	0.086	0.428	0.184	0.461	0	0.115	0	0	0.339	0.458	0.309	0.266	0.444	0.15	0.57	0.825	""	nucleolar complex protein 2 [Source:VB Community Annotation]
AGAP012813	0	0.14	0.228	0.001	0	0	0.681	0.346	0.28	0.056							0.034	0.545	0.471	0.583	0.579	0	0.179	0	0	""	""
AGAP012140	0	0.635	0.001	0.002	0.434	0.905	0.61	0.936	0.847	0.348	0.185	0.874	0	0.248	0.001	0.071	0	0.221	0.312	0.007	0	0.828	0.992	0.168	0.011	eIF3b	Eukaryotic translation initiation factor 3 subunit B [Source:UniProtKB/Swiss-Prot;Acc:Q7PZY1]
AGAP008471	0	0.648	0.124	0	0	0.208	0.644	0.457	0.137	0.004	0.274	0.55	0.434	0.361	0.236	0.814	0.028	0.194	0.262	0.403	0.793	0	0.009	0	0.043	""	""
AGAP007259	0	0	0.011	0.921	0.191	0.954	0.681	0.911	0.086	0.043	0.087	0.002	0.034	0.001	0.005	0	0.033	0.468	0.061	0.291	0.425	0.001	0.001	0	0.954	""	TMEM9 protein [Source:VB Community Annotation]
AGAP007180	0	0.219	0.215	0	0	0	0.584	0.3	0.82	0.507	0	0.485	0.002	0.625	0.001	0.369	0.001	0.14	0.026	0.25	0.821	0	0	0	0.639	""	""
AGAP005509	0	0.885	0.032	0.678	0.204	0.753	0.927	0.66	0.963	0.674	0.465	0.216	0.134	0.031	0.248	0.124	0	0.057	0.001	0.009	0	0.038	0.177	0.008	0.781	""	Ufm1-specific protease 1 [Source:VB Community Annotation]
AGAP003311	0	0.27	0.119	0	0.164	0.001	0.464	0.069	0	0.115	0.825	0.002	0.439	0	0.089	0	0.03	0.986	0.254	0.293	0.122	0.324	0.925	0.21	0.003	""	""
AGAP002721	0	0.447	0.775	0.013	0.637	0	0.606	0	0.006	0.671	0.487	0.978	0.03	0.127	0.94	0.448	0.97	0.832	0.288	0.86	0.283	0.001	0.423	0.355	0.002	""	Tryptophan 2,3-dioxygenase [Source:UniProtKB/Swiss-Prot;Acc:O77457]
AGAP011497	0	0.058	0.657	0.932	0.62	0.543	0.103	0.928	0.196	0.092	0.007	0.863	0.002	0.787	0.038	0.856	0.603	0.936	0.491	0.789	0.709	0.062	0.012	0.083	0.806	""	vacuolar protein sorting protein 25 [Source:VB Community Annotation]
AGAP002909	0	0.906	0	0.627	0.185	0.36	0.001	0.092	0.006	0.006	0.452	0.901	0.351	0.963	0.182	0.875	0.288	0.812	0.142	0.548	0.367	0.023	0.934	0.003	0.58	""	Control protein HCTL029 [Source:VB Community Annotation]
AGAP005161	0	0.822	0.082	0	0.016	0.085	0.713	0.698	0.802	0.973	0.465	0.006	0.038	0	0	0	0.003	0.888	0.938	0.915	0.568	0.226	0.257	0.545	0.124	""	polynucleotide 5'-hydroxyl-kinase GRC3/NOL9 [Source:VB Community Annotation]
AGAP008650	0	0.637	0.043	0	0	0.006	0.626	0.205	0.055	0	0.816	0.136	0.404	0.028	0.081	0.007	0.625	0.812	0.817	0.906	0.93	0	0	0	0.993	""	""
AGAP007886	0	0.074	0.448	0.009	0.179	0.001	0.781	0.634	0.928	0.519	0.187	0.005	0.564	0.126	0.469	0.159	0.006	0.373	0.019	0.21	0.029	0.432	0.265	0.129	0.499	""	""
AGAP009364	0	0.226	0	0.273	0	0.999	0.681	0.027	0	0	0.388	0.021	0.007	0	0.003	0	0.018	0.591	0	0.001	0.018	0.007	0.726	0.057	0.799	""	""
AGAP002831	0	0.45	0.053	0	0.041	0.017	0.791	0.925	0.762	0.22	0.007	0.003	0.006	0.002	0.001	0.001	0.269	0.058	0.375	0.817	0.421	0.727	0.146	0.629	0.591	""	ribosomal RNA small subunit methyltransferase H [Source:VB Community Annotation]
AGAP006811	0	0.246	0	0.487	0.876	0.907	0.258	0.016	0	0	0.298	0.333	0.439	0.252	0.023	0.822	0	0.121	0.052	0.127	0.548	0.514	0.601	0.786	0.202	""	""
AGAP028696	0	0	0.078	0.868	0.708	0.901	0.906	0.58	0.811	0.522	0	0	0.015	0.006	0.01	0.005	0.045	0.122	0.128	0.63	0.603	0.002	0	0.483	0.58	""	""
AGAP010557	0	0.618	0.045	0.494	0.048	0.321	0.895	0.609	0.045	0.029	0.517	0.41	0.405	0.298	0.74	0.753	0.519	0.744	0.245	0.909	0.568	0	0.017	0.001	0.001	""	B-cell receptor-associated protein 31 [Source:VB Community Annotation]
AGAP002178	0	0.056	0.978	0	0	0	0.013	0.447	0.323	0.608	0.004	0.337	0	0.435	0.001	0.686	0.002	0.059	0.001	0.071	0.333	0.338	0.265	0.44	0.426	""	homeobox protein homothorax [Source:VB Community Annotation]
AGAP002667	0	0.14	0	0.032	0.754	0.367	0.799	0.829	0.655	0.207	0.724	0.379	0.665	0.009	0.555	0.018	0	0.095	0.302	0.159	0.167	0.306	0.534	0.272	0.059	Tctp	Translationally-controlled tumor protein homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7QCK2]
AGAP000154	0	0.799	0.981	0.473	0	0.61	0.083	0	0.084	0	0.007	0.075	0.047	0.106	0.044	0.087	0	0.001	0	0	0	0	0.026	0.216	0.097	""	AMP dependent ligase [Source:VB Community Annotation]
AGAP000046	0	0	0.001	0.248	0.169	0.495	0	0	0	0	0.077	0.371	0.003	0.79	0.057	0.391	0.906	0.33	0.723	0.818	0.842	0.06	0.71	0.78	0.005	""	""
AGAP004756	0	0.082	0.001	0.036	0.867	0.507	0.998	0.335	0.392	0.1	0.13	0.011	0.425	0	0.365	0	0.015	0.068	0.04	0.044	0.004	0.419	0.801	0.17	0.002	""	""
AGAP005749	0	0.653	0.043	0.466	0.849	0.502	0	0.122	0	0	0.375	0.355	0.017	0.004	0.988	0.845	0.605	0.331	0.536	0.856	0.864	0.055	0.109	0.118	0.172	GSTO1	glutathione S-transferase omega class 1 [Source:VB Community Annotation]
AGAP004300	0	0.767	0.978	0	0.928	0	0.687	0.678	0.111	0.008	0.548	0.02	0.696	0.071	0.68	0.023	0.039	0.869	0.006	0.512	0.11	0.555	0.746	0.098	0.023	""	""
AGAP003577	0	0.373	0.348	0.872	0.955	0.637	0.772	0.003	0	0	0.485	0.273	0.288	0.13	0.122	0.06	0.299	0.345	0.417	0.702	0.5	0.767	0.614	0.554	0.083	""	Ras-related and estrogen-regulated growth inhibitor-like protein [Source:VB Community Annotation]
AGAP001780	0	0.009	0	0.014	0.036	0.703	0.497	0.006	0.686	0.721	0.01	0.049	0.016	0.049	0	0.001	0.05	0.597	0.85	0.95	0.763	0.054	0.045	0.008	0.661	""	E3 ubiquitin-protein ligase EDD1 [Source:VB Community Annotation]
AGAP008330	0	0.194	0.533	0.998	0.655	0.131	0.681	0.893	0	0.008	0.025	0.805	0.035	0.202	0.022	0.448	0.764	0.631	0.635	0.979	0.438	0.002	0.796	0	0.095	""	guanine nucleotide-binding protein-like 1 [Source:VB Community Annotation]
AGAP005080	0	0.008	0.908	0.005	0.072	0	0.927	0.925	0.976	0.391	0.204	0.001	0.263	0	0.345	0	0.045	0.924	0.46	0.23	0.307	0.207	0.957	0.971	0.49	""	Ribulose-phosphate 3-epimerase [Source:UniProtKB/TrEMBL;Acc:Q7Q9R5]
AGAP028494	0	0.477	0.326	0.043	0.354	0.758	0.059	0	0	0	0.724	0.574	0.736	0.586	0.871	0.726	0.432	0.399	0.16	0.674	0.386	0.003	0	0.01	0.166	""	""
AGAP000988	0	0	0.003	0.131	0.231	0	0.801	0.083	0	0.001	0.415	0.029	0.013	0	0.408	0.067	0.429	0.519	0.362	0.552	0.938	0	0.001	0	0	CPAP3-A1c	cuticular protein [Source:VB Community Annotation]
AGAP003580	0	0	0.657	0.004	0.15	0.87	0.002	0	0	0	0.911	0.337	0.776	0.425	0.854	0.181	0.434	0.227	0.012	0.066	0.158	0.009	0.005	0	0.745	""	""
AGAP004678	0	0.007	0.669	0.001	0	0	0.007	0.016	0	0.014	0.614	0	0.55	0	0.043	0.002	0	0.033	0.307	0.081	0.204	0	0	0	0.103	""	""
AGAP010096	0	0.849	0.629	0	0.115	0.638	0.493	0.831	0.389	0.022	0.834	0.437	0.469	0.075	0.335	0.064	0.165	0.638	0.731	0.805	0.672	0	0	0	0.67	""	""
AGAP000405	0	0.698	0.09	0.01	0.008	0	0.9	0.02	0.956	0.721	0.456	0.047	0.439	0.029	0.853	0.014	0	0.003	0	0	0	0.029	0.2	0.052	0.177	""	sphingomyelin phosphodiesterase 4 [Source:VB Community Annotation]
AGAP002807	0	0.342	0.006	0.32	0.637	0.42	0.34	0.018	0.035	0.1	0.004	0	0.004	0	0	0	0.058	0.975	0.171	0.502	0.852	0.001	0.101	0	0.865	""	""
AGAP009618	0	0.859	0	0.413	0.668	0.041	0.218	0.922	0.637	0.852	0.682	0.371	0.583	0.323	0.137	0.055	0.709	0.938	0.927	0.771	0.63	0	0.025	0	0.65	""	""
AGAP010909	0	0.907	0.091	0.411	0	0	0.483	0.009	0.732	0.537	0.005	0	0	0	0	0	0.198	0.577	0.297	0.54	0.93	0.161	0.927	0.037	0.028	""	""
AGAP009566	0	0.43	0.831	0.096	0	0.001	0.258	0.005	0.027	0.021	0.006	0.021	0.015	0.046	0.001	0.003	0.666	0.798	0.698	0.717	0.823	0.023	0.063	0.03	0.756	""	zinc finger protein 271 [Source:VB Community Annotation]
AGAP003547	0	0.445	0	0	0.205	0.408	0.035	0.016	0.003	0	0.152	0	0.01	0	0.025	0	0.001	0.143	0.002	0.039	0.074	0	0.036	0.005	0.831	""	MORN repeat-containing protein 4 [Source:VB Community Annotation]
AGAP011271	0	0.028	0.005	0.061	0.058	0.418	0.915	0.605	0.574	0.767	0.001	0.089	0.009	0.076	0	0.007	0.053	0.835	0.268	0.565	0.712	0.024	0.599	0.661	0.532	""	cation-transporting ATPase 13A3/4/5 [Source:VB Community Annotation]
AGAP001004	0	0.005	0.015	0	0	0.843	0.724	0.025	0.865	0.88	0.371	0.048	0.132	0.014	0.014	0.001	0.015	0.555	0.152	0.515	0.151	0.187	0.067	0.823	0	TOLL1A	TOLL-like receptor 1A [Source:VB Community Annotation]
AGAP005721	0	0.127	0.342	0	0.106	0.568	0.948	0.634	0.185	0.044	0.038	0.826	0.042	0.229	0.436	0.496	0.129	0.437	0.001	0.059	0.024	0.258	0.132	0.068	0.765	""	chondroitin 4-sulfotransferase [Source:VB Community Annotation]
AGAP004261	0	0	0	0.201	0.843	0	0.161	0.159	0	0	0	0.048	0	0.064	0	0	0	0.042	0	0	0	0.077	0.549	0.227	0	CRY2	cryptochrome 2 [Source:VB Community Annotation]
AGAP000109	0	0.968	0.192	0.115	0.28	0.025	0.952	0.808	0.031	0.401	0.001	0.004	0.002	0.042	0.003	0.05	0.364	0.06	0.734	0.603	0.66	0.877	0.234	0.749	0.066	""	cytochrome c oxidase subunit VIIa [Source:VB Community Annotation]
AGAP002536	0	0.111	0.924	0.318	0.864	0.535	0.634	0.019	0.76	0.014	0.359	0.003	0.319	0.009	0.044	0	0.041	0.957	0.047	0.518	0.527	0.982	0.192	0.701	0	""	""
AGAP009127	0	0.411	0.549	0.062	0	0.197	0.013	0.589	0.003	0.669	0.123	0	0.062	0	0	0	0.008	0.067	0.002	0.001	0.028	0.161	0.408	0.209	0.44	""	""
AGAP010334	0	0.145	0.726	0	0	0	0.795	0.778	0.485	0.064	0.436	0.067	0.103	0.003	0.585	0.163	0.787	0.171	0.156	0.921	0.421	0.273	0.567	0.004	0.122	""	glucosyl/glucuronosyl transferases [Source:VB Community Annotation]
AGAP007209	0	0.365	0.06	0.045	0.074	0	0.989	0.566	0.862	0.852	0.874	0.034	0.439	0.153	0.997	0.142	0.003	0.711	0	0.015	0.002	0	0	0	0.02	""	Tetraspanin [Source:UniProtKB/TrEMBL;Acc:Q7PTA7]
AGAP001100	0	0	0.064	0	0	0.003	0.811	0.041	0.001	0	0.006	0.004	0.007	0.003		0.016	0.592	0.243	0.002	0.531	0.089	0	0	0	0.001	""	""
AGAP000374	0	0.843	0	0.275	0.019	0.005	0.281	0	0.789	0.338	0.017	0.014	0.014	0.009	0.007	0.006	0.168	0.688	0.913	0.817	0.711	0.127	0.536	0.127	0.25	""	anaphase-promoting complex subunit 1 [Source:VB Community Annotation]
AGAP010134	0	0.421	0.036	0	0.866	0.579	0	0.522	0.68	0.169	0.416	0	0.581	0	0.014	0	0.095	0.948	0.011	0.88	0.14	0	0.302	0.109	0.752	""	arrestin-1 [Source:VB Community Annotation]
AGAP002905	0	0.096	0.177	0.916	0	0.751	0.79	0.209	0	0	0.807	0.291	0.202	0.03	0.027	0.002	0	0.003	0	0	0	0.028	0.395	0	0.91	OBP13	odorant-binding protein 13 [Source:VB Community Annotation]
AGAP011195	0	0.615	0.055	0	0	0.665	0.929	0.099	0.101	0.036	0.694	0.315	0.848	0.103	0.809	0.292	0.966	0.787	0.731	0.805	0.699	0	0	0	0.244	""	opioid binding protein/cell adhesion molecule-like [Source:VB Community Annotation]
AGAP007901	0	0.883	0.755	0.156	0.879	0.003	0.152	0.378	0.226	0.609	0.154	0.56	0.115	0.563	0.77	0.188	0.039	0.311	0.173	0.324	0.622	0	0.007	0.055	0.534	""	Ras-related protein Rab-5C [Source:VB Community Annotation]
AGAP006441	0	0.044	0.001	0	0.248	0.047	0.002	0	0	0	0.519	0	0.582	0	0.968	0	0.115	0.204	0.393	0.061	0.597	0	0.016	0.007	0.868	""	GTP cyclohydrolase I [Source:VB Community Annotation]
AGAP005046	0	0.001	0.129	0	0.691	0.37	0.981	0.013	0.65	0.377	0.155	0.695	0.09	0.955	0.12	0.794	0	0.163	0.071	0.038	0.002	0	0.001	0	0.907	RpL22	60S ribosomal protein L22 [Source:VB Community Annotation]
AGAP012395	0	0.695	0.726	0.024	0	0.001	0.425	0.831	0.956	0.1	0	0.161	0.003	0.396	0.069	0.987	0.85	0.043	0.982	0.976	0.7	0.006	0.608	0.687	0.005	""	peptide-methionine (S)-S-oxide reductase [Source:VB Community Annotation]
AGAP009049	0	0.948	0.053		0.008	0	0.323	0.343		0.153			0.01	0.16	0.001	0.025	0.443	0.048	0.011	0	0.545	0.951	0.697	0.151	0.626	Cht16	chitinase [Source:VB Community Annotation]
AGAP006605	0	0.841	0.076	0.438	0.008	0	0.152	0.242	0.223	0.118	0.111	0	0.108	0	0.714	0.026	0.908	0.942	0.638	0.55	0.903	0.22	0.427	0.084	0	""	""
AGAP002481	0	0.773	0.037	0.115	0.884	0.74	0.652	0.133	0.963	0.262	0.926	0.129	0.816	0.167	0.347	0.274	0.954	0.789	0.263	0.957	0.236	0	0.018	0	0.235	""	26S proteasome regulatory subunit N1 [Source:VB Community Annotation]
AGAP000483	0	0.045	0.459	0.863	0.114	0.179	0.286	0	0.35	0.842	0	0.956	0.006	0.402	0.003	0.719	0	0.447	0.001	0.011	0	0.014	0.265	0.431	0.447	""	Inositol polyphosphate-5-phosphatase F [Source:VB Community Annotation]
AGAP008160	0	0.183	0.014	0	0.774	0.006	0.796	0.284	0.564	0.509	0.306	0.006	0.002	0	0	0	0.432	0.143	0.095	0.533	0.142	0.439	0.069	0.574	0.007	""	myb proto-oncogene protein [Source:VB Community Annotation]
AGAP010163	0	0.001	0.003	0.305	0.883	0.537	0.782	0.366	0.691	0.356	0.265	0.571	0.28	0.563	0.469	0.315	0.866	0.676	0.035	0.647	0.182	0.007	0.049	0	0.619	RpL38	60S ribosomal protein L38 [Source:UniProtKB/Swiss-Prot;Acc:Q7Q0U1]
AGAP000354	0	0.02	0.577	0.147	0.392	0.177	0.34	0	0	0.004	0.095	0.309	0.047	0.118	0.065	0.161	0	0.003	0	0.075	0.119	0.255	0.088	0.619	0.57	""	""
AGAP006061	0	0.108	0	0.571	0.103	0.142	0.303	0	0	0.024	0.812	0.261	0.679	0.695	0.989	0.337	0.975	0.705	0.847	0.765	0.589	0.073	0.973	0.05	0	""	""
AGAP001930	0	0.153	0.277	0.018	0.396	0.286	0.11	0	0.368	0.199	0.104	0.091	0.002	0.008	0	0.001	0	0.213	0.156	0.442	0.188	0	0	0	0.005	""	heterogeneous nuclear ribonucleoprotein 27C [Source:VB Community Annotation]
AGAP009286	0	0.079	0.012	0.008	0.138	0	0.862	0.054	0.025	0.012	0.495	0.221	0.153	0.034	0.056	0.014	0.387	0.315	0.375	0.997	0.543	0	0	0	0.644	""	""
AGAP012710	0	0.163	0.031	0.226	0	0.001	0.089	0.002	0.001	0.036							0.009	0.003	0.257	0.371	0.7	0.977	0.995	0.793	0	""	Histone H2B [Source:UniProtKB/Swiss-Prot;Acc:Q27442]
AGAP010828	0	1	0.588	0.011	0.046	0.005	0.792	0.456	0.893	0.656	0.554	0.017	0.104	0.004	0.109	0.012	0.094	0.87	0.423	0.144	0.086	0	0.003	0.006	0.555	CASPS9	short caspase 9 [Source:VB Community Annotation]
AGAP007250	0	0.075	0	0	0.002	0	0.661	0.001	0.002	0.004	0.136	0	0.087	0	0.049	0	0.954	0.703	0.632	0.576	0.011	0	0.001	0	0.995	""	""
